댓글 작성자,영상 시간,댓글 내용
Jayne Lim,13:18,"those who have an issue with jen using the word ""thugs"", her point is that if all YOU see are ""thugs"" then you need to check your perspective. she is NOT calling them thugs"
Shontelle Watson,13:20,Wait! So Gucci is your neighbors business?
Eryn Vargo,13:20,I never realized how much my skin color offered me a protection that others don’t receive. It’s absolutely heart breaking
Averia Gaskin,13:23,People from out of state in St. Paul are the ones destroying things. Can we please stop blaming blacks
dioneculbert,13:29,I'm trying to form words to express how I'm feeling as a 42 yr old black woman with a 12 tree old son...and I just cant..if you have not lived as a POC you WILL NEVER understand 💯
Eliza Moeller,13:34,There are a lot of Minneapolis businesses standing with the protesters. Building a can be rebuilt but George Floyd will never draw breath again.
Nikki Crayons,13:34,ok. thank you!
Noa Shaindlinger,13:36,the president* is advocating killing protesters.
Phyrra Nyx,13:39,Our president isn't fit for the job.
Michael Diamond,13:40,I cant watch this anymore goodbye
Trashley Fellers,13:40,thank you for the further explanation
Jenny K,13:41,"our ""president"" again, please vote in November."
AlexxM,13:44,"Melissa, target put out a statement that they support the protests and they will continue to rebuild the twin city stores, and pay all their employees"
Marvalous,13:44,People are frustrated for a number of reasons
Brunhilde Eihwaz,13:45,"I am so glad you’re talking about this, Jen. ❤️"
Miranda Stephens,13:47,@nikki grace she only said it cuz she was saying what the president said... she wasnt calling them thugs herself
Eliane A,13:47,Trump is the biggest thug of them all
Steven Lopez,13:49,It’s just hard. Because when they protest peacefully they are met with rubber bullets and tear gas.
Tracie 3,13:49,Not only destroying businesses but so many will lose more jobs.. Jobs they need to feed themselves and their families..
Emme Juliana,13:50,"Black poet Scott Woods: ""Racism is an insidious cultural disease... hate is just one manifestation. Privilege is another. Access is another. Ignorance is another. Apathy is another."""
Kelley Mosiman,13:50,"In Minneapolis, I can’t speak for other cities, a lot of the people that have been arrested in connection with the violent riots in arsons have been from out of state. These are people that live here"
ALXSSA,13:53,I am in Philly and a lot of the people protesting were not from here. They can go back to their beautiful communities while ours is destroyed now.
Gina Marie Conway,13:54,How else will they be heard? They tried taking the knee and we did not hear them. They are mad and rightfully so
Jessica T,13:55,People are pissed off and are not being heard. I don't condone looting but understand why it's happening.
Banshee Muse,13:56,Obama called rioters thugs
Dark Angel,13:56,"I'm in Wi. A few hours away from Minneapolis. This behavior from law enforcement is nothing new. I've seen it in my city, and all over the country. It saddens me that we are here in 2020."
Melissa Fallenstein,13:58,We need to listen and change needs to happen
Elizabethann Ferrario,14:01,"Hi nice to see everyone , yes it’s very sad as too what’s going on but I send my love ! Liz U.K."
Grace Adams,14:01,Jackie Anna’s ig story about companies like fashion nova’s response to all of this was super powerful
MamaGoony,14:01,"I understand why but not enough to destroy businesses , people will eventually want to have jobs"
M S,14:03,Thank you for talking about this
PeachyKyna,14:04,Most of the looters are not protestors. They’re taking advantage of the situation to benefit themselves. Please get the association with BLM and looters out of your head.
zoe asf,14:05,the protests were peaceful until the cops cames
inkuspm,14:07,Atrocities are happening. A Man was murdered. The emotional state of some can cause acts of rebellion.
Michelleschef,14:10,It’s because our President is human garbage.
Anna Harper,14:10,The target they looted is the test location for surveillance and loss procedures for poor neighborhoods
Jily6667,14:15,Who is “they” alot of white supremacists are going down there to discredit the protest
Paula Kauffman,14:16,"As a POC, I have experienced first hand the systemic failure that our legal system encounters when we try to speak up and have our voices heard."
Melissa Pellegrin,14:17,One thing - how do I join the group?
Eva Bell,14:18,white supremacists are the ones who were causing the looting
Megan,14:18,City officials also confirmed a lot of the damage done is white supremacy groups who organized on Facebook. So it isn’t people destroying their own businesses.
Tinytitan50,14:18,Ppl have their entire life in the business they own... insurance or not it’s still their lives!
LaCondesaLatina,14:18,What are we teahing our children? 😢
Jaime K.,14:20,"The other problem is that, if you look at the videos, a lot of those looters were NOT protestors. Just people taking advantage of the situation"
Renee Lahue,14:21,Please can we talk about something eals please
Erin McManaway,14:22,Use what resources you have to help those who are suffering. There are Go Fund me’s for George Floyd’s family and the Minnesota Freedom Fund to help those who have been arrested in Minnesota
aevondamn,14:24,Officially unsubscribing. Can’t do more politics when I come here for an escape.
Angel Griffin,14:24,"I’m so happy and proud of you for using your platform to speak up. This is a brave move, and I am honored to be one of your subscribers"
Mayra L,14:27,Jen please play the last bit of Trevor Noah’s clip about societal contacts being broken.
Gen Giovannone,14:27,the harder conversations are the ones we need most. more now than ever
Liz Plawman,14:29,I dont believe violence will change anything but make the people who are being violent look bad and their message mute.
Angela Curry,14:31,Several comments about talking about Tati
Mel,14:41,I just can’t understand..... we are in year 2020.. yet racism still exists...: yet police brutality still exists!
Erin H,14:41,"I live near Ferguson...and six years later, we're still horribly broken. People are more aware, but the culture of racism in the police force is as bad as its ever been."
Wendy Harris,14:46,They are criminals just as guilty as cop. Yes that cop all 4 of then are guilty of Murder but 2 wrongs don’t make a right.
MamaGoony,14:46,Riots will worsen the economy
Polly Pocket,14:47,I’m NOT HERE FOR POLITICS... This is supposed to be an escape from the world.
K M,14:47,I saw Norvina donating too. That was cool
inkuspm,14:49,George Floyd was murdered.
Emily Chambers,14:52,Thank you Jen for doing this & people here for honesty
Tiffany PK,14:53,"Othering words are problematic! “Their” seems to mean that these are not also your problems. That you would sit back, judge from afar, and just look on. How lucky you are to have a choice."
Ana Co,14:55,What happened to Tati?
LaNae Reinertsen,14:58,People need to stop saying 'those people are from out of town'. They arent. Its rage and frustration across the county.
Shontelle Watson,14:58,Hello
Tracy Sansotta,15:01,The looters are not the peaceful protests. People are coming from other cities and states to take advantage. People pls vote in all your local state and in November!!
Ameerah Muhammad,15:02,And most of the looting being done is NOT being done by protestors.
Jessica Rodriguez,15:02,I saw desi Perkins donated $1200 to the families go fund me
Ariana Little,15:04,When peaceful protesting hasn't worked for 60+ years. What do you do? When your afraid for your children to leave your sight what do you do?
Joanna Rivera,15:06,Dragon is docking at the space station...
Jessica Schnupp,15:08,I can’t see new comments. Not sure why.
Sandra M. D.,15:13,it's organized to separate us. wake up!
molly O'Hara,15:14,I live in Minneapolis.. during the day were beautiful protests..nightfall is when many people who don’t live in the state even were the ones destroying and burning down our city.
Makeup with Mia,15:14,the police in my city acknowledged that it was infiltrators.
Rachel Friez,15:14,How do you reconcile the protests and crowds with covid prevention? Is there a better way?
taintedcrimson,15:15,Thank you for using your channel for this conversation. It's so important to talk about.
bby,15:21,Then leave Polly Pocket. This is bigger than escapism.
Mayra L,15:22,Yes Tiffany! How lucky some are to have a choice.
Marvalous,15:22,It’s crazy
PeachyKyna,15:23,if you're not here for politics you can leave. Sit in your privilege elsewhere
Melissa Fallenstein,15:23,"I need to know what can I do to help this movement, and help to create change"
Anita Majumdar,15:27,"The act of protest isn’t an act of justice; it’s a CALLS for justice, it’s meant to get our attention and open our eyes to change.This is a reaction to feeling powerless to defend the right to life"
Trashley Fellers,15:27,largest civil rights protests in history.
Jaime K.,15:29,Exactly @Ameerah
atbprincess,15:32,"As a black woman, I'm afraid to leave my house. Violent police officers arrested and fired shots at protesters. I've almost thrown up from shock and distress"
ALXSSA,15:33,@lanae reinertsen in philly ppl traveled down
Sarah H,15:33,"vote him out, not saying it will solve the problem, but its a start"
ThisIsMeMorgan,15:34,@Polly Pocket as Jen said bring up a topic. We can’t just ignore what is going on
Unapologetically Mocha,15:35,What’s with the “I Can’t Breathe” makeup looks? Saw that on Twitter last night.
misssssshell,15:36,it's hard to talk about anything else right now
Anna Harper,15:40,I’m in Minneapolis. There are sightings of kkk gatherings and hell’s angels here. It’s not about George anymore. They’re here to make the problems worse
Gina Marie Conway,15:42,If no one else will listen to them we need to be their voices. We need to be their allies
Nikki Crayons,15:43,i dont think they are wrong in the least. what does a store matter when lives are being stolen
Monika luvs beauty420,15:47,"were friends, chatting. if today is not your day to listen, well..."
Beatriz Jatem,15:47,"I’m at a loss of words like you Jen. I often find myself struggling how to have a conversation about this with other POC. I have learned a lot from Ti, Nappyheadedjojoba"
Jennifer Gould,15:53,many YouTube creators are donating their AdSense from the weekend's posts.
Angeline,16:00,wait there's a i csnt breath look
ChloeTKMakeup,16:02,I love Jackie ainas response to all of this - she’s elevating the voices of other people and calling out people who are speaking up
JayJay,16:04,"Let me first say that I am a minority. If you hurt the innocent you are a thug! White, black, Hispanic...it matters not. Hurting the innocent is never the answer."
Angeline,16:09,terrible idea.
Renee Lahue,16:10,I do agree that the police officers should be charged with murder but I do not agree with victimizing all police officers because they are the reasons that are streets are safe
Polly Pocket,16:22,This isn’t a political channel... I come here to relax
At the VaniTea with Auddie,16:25,Good Morning Everyone
Tiffany PK,16:26,I’m surprised by Norvina because ABH’s Twitter was super tone def yesterday.
Machteld Sofia,16:26,@beatriz Jatem I am learning too from her
Lycia Tomlinson,16:30,"Black people are killed by police who are not properly prosecuted for the murders they commit for years, but since this administration has come into office, the violence has escalated exponentially."
Grace Adams,16:31,Do you think it’s ignorant if beauty gurus don’t speak up on this? Or do you think they’re not speaking up because they don’t want to say the wrong thing?
Shannon Quinn,16:32,"We white people need to SUPPORT our black sisters and brothers, raise THEIR voices, NOT speak for or over them. None of us are perfect and we need to look inside & change our own behaviour too."
Jennifer Ruiz,16:37,but theyre safe to whom? @Renee Lahue
Ameerah Muhammad,16:38,@Renee whose streets are safe? Safe for who?
the squish doc,16:40,hi
Maria D,16:41,M
Graciela,16:44,"If you guys would like to learn more about what you can do, nappyheadedjojoba posted a great livestream on that topic yesterday"
Liz's Lushous Life,16:44,"I’m trying to have conversations with people about the current situation, and it’s so sad because they automatically get defensive"
taintedcrimson,16:48,"Cirque Colors is matching donations up to $5k, you just email proof of your donation."
Monika luvs beauty420,16:52,"@polly, hun today this is the chat..."
Wendy Harris,16:54,What would Jesus Do?
K M,16:54,"I'm actually glad that Tati take a break, i knew she have breakdown."
Tonja Watts,16:55,We had a police issue a few days after me
Jaime K.,17:01,You just reach a point where you can't take it anymore. At what point will this country recognize that our lives have value? What will it take to not live in fear every day?
patricia holland,17:01,it is hard to have people think correctly when the president can you be racist to but this goes down to the blind rage that people are feeling and lashing out at anyone they feel pain and anger
Cosmic Slice,17:03,I can't blame anyone for taking a social media break right now. All I'm doing is posting my subscription boxes to Instagram
Machteld Sofia,17:07,"@Polly Pocket, rn is not the time to relax. We have to acknowledge what's going on"
Marvalous,17:08,"Tricky, no"
IndigobluBeauty,17:08,I’m here in the Twin Cities...from Minneapolis originally. There are white supremacists groups here starting trouble too
She_wears_ Dip,17:09,I'm so glad teh make up industry is talking about this. it should be conversation that all industries should be talking about because it's so important.
Lycia Tomlinson,17:11,"I'm 54, and I've protested unfair practices of all kinds my whole life."
Phyrra Nyx,17:11,Jesus was Jewish and POC and would support the protestors
Lauren Jenay,17:12,"I understand people being upset about the riots but at the end of the day property and materials can be replaced, human lives cannot"
Jayne Lim,17:12,"@Gracie thank you, i will look it up after this livechat"
Elizabethann Ferrario,17:13,No we are white but still distressing !
Chris Leeds,17:13,My heart is breaking for our country... I sit in a privileged place of white passing POC... and it kills me. I 100 understand what people are doing right now
Heather Rubino,17:13,I believe that we as white women possess the authority to influence in our communities to effect change
HK_ Nurse,17:14,@Gracie yes she did.
zoe asf,17:15,i have see many protests and many protests turning into riots in france but none of them EVER went as far as those in the us have
Ameerah Muhammad,17:17,@Polly must be nice
ALXSSA,17:17,Im a black women and i dont want my community destroyed. I also want justice for George. I don't agree with looting.
Renee Lahue,17:19,I do agree with people that the police officer that did that to that man should be charged with murder but I do not agree with Criminalizing all police officers in the US they Keep streets safe
Teresa Niswander,17:21,"We had a shooting in Grand Forks, black man shot a white cop who died. All over an eviction notice. The shooter had lots of weapons and shot at many police, also shot a woman dead in the apartment too"
Noa Shaindlinger,17:21,Note that police are inciting violence and rioting.
Nicole Banker,17:29,"Whitney Houston's ""Higher Love"" has been on repeat for me. My heart just hurts and I wish we could redo this past week ❤😔"
Jennifer Ruiz,17:30,thats right! @ALXSSA
Melissa Fallenstein,17:31,Is Tati just not getting views?
Tia Ayoroa,17:32,"@Polly Pocket this is a makeup channel run by a human being. Human beings are hurting right now, and this is what is on the mind of the collective brain"
atbprincess,17:36,"It's easy to say ""not all cops"" when you're not the group being targeted and LYNCHED by them."
Gina Petti,17:44,"I think that is being debunked, but whether it is or it isn't, justice is more important than tranquility"
ThisIsMeMorgan,17:49,Polly pocket if you want to relax this might not be the right place for you today
Jessica Barone,17:52,"for ppl asking to talk about makeup, Tati, Kylie not a billionaire, this is what is meant by privilege. you get to not be afraid, you are looking for something else when millions can't."
Sandra M. D.,17:53,white people are killed by police too. actually more often.
Phyrra Nyx,17:54,"Police think they have impunity, that needs to change."
inkuspm,17:58,"I agree, Anything The President says in Twitter can be ""said"" as a point of reference, to demonstrate what dirge he is."
Erin McManaway,18:06,Thank you for the recommendation
Tiffany PK,18:07,@MayraL right?!
Heather Rubino,18:07,It was based on Ohio
ChloeTKMakeup,18:07,@atbprincess - spot on!
Mayra L,18:07,Thank Jessica barons. Exactly.
ALXSSA,18:12,Police NEED to change. Period.
Lycia Tomlinson,18:13,"Looting and setting fires are not something I've ever done, but I can't judge. How pissed off do you have to be with a megaphone before you choose a method that more clearly expresses your fury?"
Rachel Timmerman,18:13,Yes - Serial was awesome!
ClassicallyDiana,18:20,"I used to be the one saying looting is not the way to do things. My perspective has changed. Human Lives are being lost, let’s refocus on that. No matter how upsetting, material things can be replaced"
DQ4eva363,18:22,i think she means season 3
Graciela,18:22,"Jen, would you consider doing a video highlighting black-owned makeup brands that we can support?"
Jaime K.,18:23,yes @Jessica Barone
She_wears_ Dip,18:24,as a white woman these conversations are important to understand how I/ we can do better for our black brothers and sisters
Nikki Crayons,18:25,"how can we be so quick to say ""not all cops"" but also just as quick to lump all bmack people together"
Kelly M,18:27,"I'm in Canada, I was absolutely speechless then immediately outraged watching a man, helpless and handcuffed have the life taken right out of him, by an ""officer of the law"" hands in pockets murder!!"
Jennifer Ruiz,18:28,@Sandra M. D. your data is wrong if you believe
Angela Curry,18:36,Good people in public safety need to stand up against these hateful and gross acts
OmniBlast,18:38,"How sad is it that we even have to have these conversations? Human rights, the same rights for all,should be a given. It shouldn't even need a second thought. We are all the same and connected!"
AngelSKitCat,18:40,"The cop in the George Floyd incident has been arrested, charged with murder and all four cops were fired."
Joanna Rivera,18:46,Yes very interesting a must listen podcast
Phyrra Nyx,18:51,All 4 cops should have been charged
Melissa Fallenstein,18:53,The worst thing we can do is to stay silent
Makeup Junky,18:53,"I think we can agree that Blacks, Whites and everyone else is angry about more than this specific tragedy. Police brutality isn’t specifically a Black problem."
tina,18:54,the podcast caught is amazing
Shontelle Watson,18:55,I’m black and I’m with the protesters. Tear it up! Burn it up!
EnchantedWings,18:56,"Human rights are important. Everyone of us is important in our own way. Justice is necessary, especially that this is not the first time this has happened."
Valentine Lissar,18:57,How do you feel about influencers posting about this and only posting things online?
Sandra M. D.,19:04,Jennifer Ruiz nope!
PeachyKyna,19:07,Please remove the correlation between the looters and the protesters. Many protesters are NOT looting. The looters are taking advantage of the situation.
Gen Giovannone,19:07,@phyrra nyx - the change needs to come from within law enforcement first or it's going to continue
Kyle Smith,19:11,Yep
Emmy G,19:11,"In my city, any violence that happened in the city was when a lot of peaceful protestors were starting to leave. It was a group of white anarchists that incited the violence"
Banshee Muse,19:14,there is no excuse to burn and loot
Averia Gaskin,19:18,"Alxssa, I am a black woman and studying for the Cpa. I am a staff accountant and have been watching your videos! Thank you for all that you upload."
Lycia Tomlinson,19:21,"I watched a video series on courtrooms as well, and eye-opening is an excellent description."
Jennifer Ruiz,19:22,@Makeup Junky it might not be but it still demeans the huge undervaluing of black and brown lives
Nikki Crayons,19:23,fuck it. those lives dont come back when this is over
mariecm,19:24,could you go anyway with quarantine?
Trashley Fellers,19:27,community members in Mpls WERE cleaning up after fires & looting
IndigobluBeauty,19:29,This is organized chaos folks. White supremacist groups have infiltrated
Machteld Sofia,19:30,We trust police officers to protect us and then they use their power as pleased 😞
zoe asf,19:34,atlanta
Phyrra Nyx,19:34,"If you have 1 bad cop and 15 good cops, but the 15 good cops don't turn in the 1 bad cop, you actually have 16 bad cops"
AngelSKitCat,19:38,"The cop in the George Floyd incident was arrested, charged with Murder and all four cops were fired."
Angi English,19:41,"@Anita Majumdar I agree the right to protest. As long as it's peaceful. What is happening here are riots. And imo that is not ok. I live here, and it is very scary and dangerous."
Chris Leeds,19:41,We can't forget about Ahmaud Arbery
Angela Curry,19:46,The people who loot aren't the people who are really there to speak for change
Ameerah Muhammad,19:46,@Banshee Muse that’s a very privileged perspective
Mellow Yellow,19:47,Material items can be replaced. Black lives that are taken cannot
tina,19:48,"the podcast ""caught"" is another good podcast that deals with the justice system and juveniles."
A.K. C.,19:49,The police chief in Atlanta did that.
ALXSSA,19:51,Black owned business are getting looting also. That shows that the looting is not for George!
dioneculbert,19:52,42 yr old black woman: I want my 12 year old son to grow up and not be afraid of getting killed because of his skin color
Shannon Quinn,19:54,YES Phyrra!!!
Shirley,19:56,"My granddaughters are bi-racial and know nothing of racism, I pray they never will. 🤗"
Jessica Barone,19:56,phyrra yes
Monika luvs beauty420,19:57,@atbprincess I will stand by not ALL as I will also so say not AlL people of color are bad
Jaime K.,19:59,"The problem, for those saying ""the officer has been arrested,"" is that most of them get arrested. But NO ONE ever gets convicted. EVER"
K M,20:02,i saw mid michigan and new jersey popo walked along.
Sandra M. D.,20:03,interesting how they're not talking about the virus anymore
Valeria Corvalán,20:08,Its
Holly Kirklighter,20:08,Atlanta Erika Shields and our mayor Keisha Lance Bottoms
PeachyKyna,20:09,a reminder to white folks: don't bring this up to the POC in your life unless 1) they instigate conversation or 2) you just state you support them. Only they know what they are feeling right now.
Colleen T,20:12,The concern I have for the damaging of businesses(small more than any) is that some will not be able to rebuild(insurance not paying enough being scared etc.).
Myka Hylton,20:13,The police are pretending to be protesters destroying things
Machteld Sofia,20:15,yes @Phyrra Nyx
Jennifer Giaramita,20:18,The police did that here in Phoenix. They came out and talked to the protesters and most supported.
Fritz McBride,20:19,Good cops NEED to speak up! They need to be allies!
Kate,20:22,there are opportunists trying to cast a bad light on the BLM movement by instigating looting and then letting the blame fall on protesters who werent destroying anything.
Julie,20:24,I’m late but I made it
Kimberly Early,20:26,the world is a scarey place right now
Happy Alyssa29,20:26,the police officers keep the streets safe for SOME people not all people
Dannielle Obenchain,20:30,During the pandemic the fires are making already hard times worse
Nikki Crayons,20:31,thank you @peachy
príñçé Søñy,20:33,hlooooooooo
Kimberly Early,20:34,its sad
Graciela,20:36,@pharra nyx yes
Monz,20:36,THEY are not honouring the badge!
ALXSSA,20:40,@Averia Gaskin Thank you so much! 😊💕 Good luck with the CPA!
Alejandra Marroquin,20:41,let's build bridges by engaging in fruitful conversations.
Marvalous,20:46,Sad day
Jennifer Ruiz,20:48,100% @Kate
Teri Birrell,20:48,Police who are complacent are complicit.
Shawna Lynn Masuda,20:49,ALOOOOHA from Hawaii!!!
Trashley Fellers,20:49,"I think if a 'good' officer does not call out his fellow officers that do bad things, then that officer is a bad cop in my book"
Renee Lahue,20:52,No it was in Atlanta Georgia
Isabel,20:54,I saw this police officer in a video that was helping a deaf mute person communicate what they needed.
Phyrra Nyx,20:55,"We have cops shooing rubber bullets at peaceful protestors, spraying kids with pepper spray, driving cars into crowds. they're corrupt and need to be held accountable"
Jaime K.,20:56,The streets cannot be safe for all people if some of us live in fear of the police murdering us and getting away with it. that isn't keeping us all aafe
LaNae Reinertsen,20:57,Dragon has docked at the space station!
Karen K,20:58,All four cops were leaning on George Floyd. Why didn’t they speak up? You shouldn’t need four men on top of a cooperating person. 😡
Tinytitan50,21:01,Emmy not all anarchistic acts are committed by whites
Tiffany Sollog,21:02,"""If you are neutral in situations of injustice, you have chosen the side of the oppressor"" - Desmond Tutu"
Colleen T,21:03,...Then the bigger stores may not for an xyz reason and it’s just going to hurt their community that much more. All that being being said I completely understand
PeachyKyna,21:06,@Nikki Grace all love and respect ✊
Pretty Distracted Nails,21:09,there are agitators looting & setting fires & escalating events not protestors. There are white separatist groups that have infiltrated our police departments according to the FBI reports.
Nikki Crayons,21:10,aloha neighbor @shawna
Julie,21:17,"the problem is systemic, that need to change"
M P,21:19,"In my opinion, evil does not beget evil. Innocent should not pay for this. Burning things down just destroys your own surroundings. As you said, this has happened before and nothing changed."
Laura Mac,21:21,@Melissa Fallenstein I think you're right
MissellAnnie,21:23,"and, police unions have to stop protecting bad cops"
Holly Kirklighter,21:24,the system is garbage. major changes needed all around
Talestra,21:25,"I am afraid justice will not be done sufficiently enough to comfort me, and what that means for my friends, neighbors, and family most affected by the consequences of the terrible acts of people who"
Wendy Harris,21:27,Teresa NuswAnder no one seems to care about that. Only when white police kill black.
IndigobluBeauty,21:30,My girlfriend is a former Minneapolis police officer and she has condemned the officer
Sandra M. D.,21:31,@Jennifer Ruiz I don't know what you're talking about. I'm not demeaning anyone.
Gen Giovannone,21:32,@julie exactly
Monz,21:34,The problem is WORLDWIDE
Tracey's Fashion Outlook,21:36,I live in Cleveland and the Police said their were more people from out of town who came in and destroyed that the actual peaceful protesters.
Shawna Lynn Masuda,21:36,ALOOOOHA from Hawaii!!! ❤️🧡💛💚💙💜🖤
Makeup with Mia,21:36,"If you have been exposed to tear gas, wash it off with cold water"
Jennifer Ruiz,21:38,I know of at least 5 nypd officers that are being more vocal about the injustices within their department which is amazing.. but it needs to be more..
Robby Robby,21:39,is it against policy for officers to comment on these things?
Kimberly Early,21:42,things are going to get worse before it gets better. unfortunately
Jody Gover,21:44,"I’m going to church at 10, if they preach that the riots are wrong, I will walk out."
Ameerah Muhammad,21:47,The fact that the “good cops” sit on the sidelines speaks volumes. Silence is complicity
greeneyes92061,21:52,"Being older than most everyone here, everyone has an opinion, & the written word can be so so misinterpreted. It’s getting political, unnecessary. I have nothing that someone may be turned around."
Trashley Fellers,21:57,that individual action does not justify systemic racism & over policing & the KILLING of other black people
Emme Juliana,22:01,"Ahmaud Arbery, George Floyd, Breanna Taylor, Atiana Jefferson, Kathryn Johnson, Anthony Hill, Kevin Davis, Walter Scott, Jordan Davis, Renisha McBride, Tamir Rice, Sandra Bland, so many names ...."
Angeline,22:02,"these cities are sick of watching police mistreat their family and friends. it was bound to happen. people need to wake up. I have a feeling we are seeing our next ""revolution""."
kibarra96,22:06,Glossier made a 500k donation to organizations focused on combating racial injustice. They also vowed to allocate an additional 500K in form of grants to Black owned businesses.
Smurf Monster,22:06,The whole situation is horrendous I hope and pray that the fact that everyone is so close together doesn’t cause another Covid 19 spike.
Joanna Rivera,22:07,@LaNae Reinertsen Yes pretty cool how they docked watching on Cspan
molly O'Hara,22:07,The shame of seeing a cop in your city murder a man in the street is beyond comprehension.. I pray change rises from the ashes of my city
Scottilicious McFabulous,22:08,Ouuuuuuh its miss Jen 😍😍
Erin McManaway,22:11,There is a separate justice system for police officers and it tends to shield a lot of bad cops from the consequences of their actions
Mayra L,22:14,"I am an officer in LAPD, I became one because we need change from the inside. I am a Latina, my husband is black. Change from the inside. Trust me, a lot of us are not blue first."
Jennifer Larson,22:14,Agreed there is crime everywhere. I think with COVID lasting so long it’s been like a pressure cooker
Sandy P,22:14,"My mother died at age 91 over 3 years ago. I am over age 50 and I’ve heard all my life that change takes time. The frustration comes from wondering, how long should this change take?"
Mary Dixon,22:15,because riots are right? Why walk out if a priest gives a positive message?
Aphreyst,22:16,it's not anti-police to advocate for more training and transparency for police officers. it would help them and the public.
A.K. C.,22:21,The fact someone of a certain race commits a crime doesn’t mean the ENTIRE race gets to be dehumanized and killed by cops.
Jennifer Ruiz,22:22,like i said whatever you want to believe..its highly tone deaf @Sandra M. D. have a blessed day..
Monz,22:24,This is important Jen luvs reviews use your platform
H Nmr,22:24,❤️❤️❤️ hello lovelies
Ana Co,22:27,Having issues with the chat
Lycia Tomlinson,22:30,Cops that refuse to speak the truth should not be cops. We are bereft of accountability in the police forces across America.
Banshee Muse,22:32,"@Amreerah Muhammad, no it is not and what about all the minority business owners that lost businesses? Violence begets Violence"
Machteld Sofia,22:36,@Erin McManaway that's so sad.
Chris Leeds,22:37,please don't forget Ahmaud Arbery
Shirley,22:38,I haven’t been on social much as you know I just had to disconnect for my own sanity
K M,22:41,There's a petition that will pass the petition to white house. do you think situation will change?
Jaime K.,22:41,That's good @Mayra
Caryn Oles,22:41,What is your opinion on the influencers doing the I Can’t Breathe makeup?
Jennifer Giaramita,22:43,"Police need to protest, strike, and refuse to take part until changes are made."
sandy5791,22:43,I'm here just listening.
PeachyKyna,22:45,I talked to an actual good cop yesterday and he said his station had an emergency meeting and they all discussed why it's wrong for them to 1) use excessive force and 2) escalate against protesters
Deanna W,22:48,What these rioters fail to realize is that they are taking away from the message of the protests which have been peaceful.
Unapologetically Mocha,22:52,"And that’s black man should have been arrested, tried and if convicted, jailed. But what does have to do with a racist cop kneeling on a black MSN’s neck until he died?"
Sherry Goudie,22:53,"People need to listen to each other more, especially those in power positions. We need more love and less hate and racism"
Nikki Crayons,22:55,but its good to open the forum Jen. i appreciate it
Heather Rubino,22:58,I believe that we as white women possess the authority to influence in our communities to effect change
Jessica Barone,22:59,"jesus, lower viewers isn't shocking but it hurts. privilege. thank you jen for staying the course."
Julie,23:02,I had to stop watch last night starting to seriously affect my mental health
AD,23:07,"Maybe we can speak about makeup gurus doing ""I cant breath"" makeup?"
Jennifer Gould,23:09,"Jen, we are having a chat about it. That's how we are getting through it."
Katie Stevens,23:09,Thank you for shutting down the comments from individuals who want to delegitimize these protests.
Shontelle Watson,23:12,People don’t feel safe. People don’t feel heard. What difference does it make if they can’t go to a restaurant they didn’t feel safe driving to without being harassed by the police?
Mark Ferchland,23:13,You are a voice of reason
Mel,23:14,I don’t necessarily want to switch topics... this has been heavy on my heart. But thinking about Tati’s Instagram post. It reminds me of all the hate in the world.... makes my heart hurt!
JenUnboxed,23:16,"The ""people of authority"" aren't speaking up so that's why it's so important for everyone else to do so."
Mayra L,23:16,"Yes, police need to protest. Especially those of us that are POC"
Luanne Santos,23:17,My comments aren’t posting. I keep losing the chat.
Tracie 3,23:22,I don’t want children to fear all police officers.. I think many cops take the oath to protect and shouldn’t be grouped with the bad cops that took the oath for “power”..
Averia Gaskin,23:28,Yes caryn let’s talk about those fools writing I can’t breathe on their faces!
Marisa Irven,23:30,I feel like they shouldnt hire as cops if they have any racist background and maybe racism should be grounds for termination Bc then their ability to help the general public becomes biased and unfair
Aisha Khalil,23:32,But we see tgis over and over again blue protects blue
Trish Tice,23:32,What is your opinion on Myka Staufer and REHOMEING her Autistic son.
Alejandra Mendoza,23:33,This is an important topic and I’m glad you are addressing it.
Marvalous,23:36,This situation is all because of 1 man
Unapologetically Mocha,23:37,My comments aren’t posting.
Christi Rowland,23:40,You are not an authority on this.. But thank you for talking about this & brining awareness.
Anna Putnam,23:43,The New World Order is being rushed in. Everything is falling in place according to plan and the next step is martial law using these Riots as an Excuse.
Phyrra Nyx,23:44,police need to stop being trained that civilians are the enemy.
Julie Lute,23:45,"Can I ask, how has covid 19 effected POC more greatly? I truly want to understand"
Tiffany PK,23:45,"Jen, I appreciate you tackling the topic. I know it’s not easy."
Bridget Bentley,23:46,I got blocked because I called out an Influencer talking about the riots over George 
CD Recovery,23:47,I don’t have any words. I don’t know what to say honestly.
Nikki Crayons,23:51,yes they are. mocha
Talestra,23:51,"should know better, don't. I am afraid that these acts will cause people I've known my whole life, and loved, to look at me differently."
Graciela,23:52,I just want to send love to all of you. It is encouraging to be here with all of you discussing this. This is how change begins
Jennifer Giaramita,23:52,Agree Myra!
Erin McManaway,23:52,The 3 cops who watched George Floyd be murdered also need to be arrested and prosecuted
Monz,23:53,This is a good topic Jen. Very relevant. Very impactful.
Robby Robby,23:57,a lack of training is not why this man is dead
Katie Stevens,23:57,Poc have a reason to fear all police officers.
Paula Kauffman,23:57,"As a POC, I have experienced first hand the systemic failure that POC encounters when trying to advocate for themselves."
